department,total_earnings,_id
Boston Police Department,141526.36,812
Boston Police Department,289672.11,813
Boston Police Department,152823.12,814
Boston Police Department,153446.33,815
Boston Police Department,156242.39,816
Boston Police Department,273475.12,817
Boston Police Department,161411.26,818
Boston Police Department,135827.85,819
Boston Police Department,14308.99,820
Boston Police Department,167649.97,821
Boston Police Department,146118.34,822
Boston Police Department,184875.19,823
Boston Police Department,174583.72,824
Boston Police Department,154724.5,825
Boston Police Department,237410.81,826
Boston Police Department,168472.67,827
Boston Police Department,139980.17,828
Boston Police Department,233257.35,829
Boston Police Department,180870.17,830
Boston Police Department,157933.82,831
Boston Police Department,272090.48,832
Boston Police Department,158019.77,833
Boston Police Department,121275.39,834
Boston Police Department,235932.48,835
Boston Police Department,221816.32,836
Boston Police Department,206839.43,837
Boston Police Department,210677.0,838
Boston Police Department,145583.67,839
Boston Police Department,147250.7,840
Boston Police Department,286841.23,841
Boston Police Department,151779.43,842
Boston Police Department,166365.97,843
Boston Police Department,160192.51,844
Boston Police Department,203982.75,845
Boston Police Department,143992.28,846
Boston Police Department,157639.11,847
Boston Police Department,203853.44,848
Boston Police Department,135057.64,849
Boston Police Department,183635.18,850
Boston Police Department,240947.54,851
Boston Police Department,204260.6,852
Boston Police Department,195218.44,853
Boston Police Department,173699.6,854
Boston Police Department,247400.17,855
Boston Police Department,143843.39,856
Boston Police Department,138741.83,857
Boston Police Department,186133.09,858
Boston Police Department,141889.54,859
Boston Police Department,189197.94,860
Boston Police Department,178735.96,861
Boston Police Department,213051.6,862
Boston Police Department,163739.27,863
Boston Police Department,219171.0,864
Boston Police Department,160497.14,865
Boston Police Department,125241.18,866
Boston Police Department,284665.75,867
Boston Police Department,111530.3,868
Boston Police Department,204910.73,869
Boston Police Department,129688.82,870
Boston Police Department,229851.64,871
Boston Police Department,186027.84,872
Boston Police Department,193272.32,873
Boston Police Department,153355.24,874
Boston Police Department,127434.58,875
Boston Police Department,124117.24,876
Boston Police Department,247392.81,877
Boston Police Department,133393.8,878
Boston Police Department,165872.91,879
Boston Police Department,162131.35,880
Boston Police Department,152004.15,881
Boston Police Department,177891.54,882
Boston Police Department,188456.63,883
Boston Police Department,321218.72,884
Boston Police Department,193618.54,885
Boston Police Department,8254.8,886
Boston Police Department,114535.0,887
Boston Police Department,243679.89,888
Boston Police Department,145347.49,889
Boston Police Department,128384.96,890
Boston Police Department,173963.42,891
Boston Police Department,165048.76,892
Boston Police Department,162400.31,893
Boston Police Department,214344.47,894
Boston Police Department,144938.93,895
Boston Police Department,233896.01,896
Boston Police Department,157079.98,897
Boston Police Department,141615.56,898
Boston Police Department,277408.3,899
Boston Police Department,211488.38,900
Boston Police Department,159570.5,901
Boston Police Department,154683.95,902
Boston Police Department,244613.28,903
Boston Police Department,112405.79,904
Boston Police Department,47892.25,905
Boston Police Department,260305.72,906
Boston Police Department,178332.49,907
Boston Police Department,167721.61,908
Boston Police Department,198007.75,909
Boston Police Department,197539.08,910
Boston Police Department,256072.45,911
Boston Police Department,135750.33,912
Boston Police Department,164837.6,913
Boston Police Department,136117.41,914
Boston Police Department,107646.22,915
Boston Police Department,198589.67,916
Boston Police Department,124468.36,917
Boston Police Department,160447.42,918
Boston Police Department,163541.06,919
Boston Police Department,131962.63,920
Boston Police Department,205509.88,921
